Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,openposition,change_openposition
2002/5/29,5603,5603,5508,5555,5624.6,5610.1,5700.05,6004.63,13443,14275,15389,-122.81,-122.62,-0.19,0.44,0.41,0.4,0.4,10825,114
2002/5/30,5549,5730,5538,5675,5658.8,5603.4,5689.65,5999.82,20349,15437,15986,-113.99,-120.9,6.9,0.56,0.46,0.52,0.46,10463,-362
2002/5/31,5684,5684,5580,5632,5645.6,5586.1,5675.45,5991.68,13003,14727,15678,-107.58,-118.24,10.65,0.6,0.5,0.48,0.44,10524,61
2002/6/3,5612,5614,5470,5520,5606.4,5586.3,5670.7,5982.35,13742,15495,15334,-109.39,-116.47,7.08,0.53,0.51,0.38,0.4,11330,806
2002/6/4,5410,5539,5391,5500,5576.4,5595.3,5662.6,5973.33,12014,14510,14836,-113.43,-115.86,2.43,0.45,0.49,0.37,0.39,10711,-619
2002/6/5,5533,5627,5533,5615,5588.4,5606.5,5655.85,5963.75,13733,14568,14422,-106.12,-113.91,7.79,0.51,0.5,0.51,0.46,10529,-182
2002/6/6,5633,5633,5543,5561,5565.6,5612.2,5646,5954.43,13815,13261,14349,-101.03,-111.33,10.31,0.49,0.5,0.45,0.43,11098,569
2002/6/7,5460,5478,5203,5358,5510.8,5578.2,5621.15,5942.4,15341,13729,14228,-113.85,-111.84,-2.01,0.42,0.47,0.3,0.36,10356,-742
2002/6/10,5471,5493,5410,5470,5500.8,5553.6,5604.85,5931.82,10938,13168,14331,-113.71,-112.21,-1.5,0.45,0.46,0.43,0.42,9997,-359
2002/6/11,5463,5530,5351,5390,5478.8,5527.6,5585.65,5923.25,16118,13989,14250,-115.93,-112.96,-2.97,0.42,0.45,0.37,0.39,10973,976
2002/6/12,5368,5434,5356,5431,5442,5515.2,5562.65,5914.63,12031,13649,14108,-116.53,-113.67,-2.86,0.44,0.45,0.42,0.41,11277,304
2002/6/13,5475,5595,5465,5580,5445.8,5505.7,5554.55,5909.27,16029,14091,13676,-104.34,-111.8,7.46,0.58,0.49,0.56,0.49,9624,-1653
2002/6/14,5546,5600,5532,5600,5494.2,5502.5,5544.3,5901.37,9387,12901,13315,-91.37,-107.72,16.35,0.7,0.56,0.58,0.5,9410,-214
2002/6/17,5615,5632,5540,5560,5512.2,5506.5,5546.4,5893.22,8093,12332,12750,-80.96,-102.37,21.4,0.74,0.62,0.53,0.48,7971,-1439
2002/6/18,5650,5663,5551,5600,5554.2,5516.5,5555.9,5883.97,5768,10262,12125,-69.46,-95.78,26.33,0.78,0.67,0.57,0.5,5890,-2081
2002/6/19,5545,5575,5360,5370,5542,5492,5549.25,5870.63,5469,8949,11299,-74.38,-91.5,17.12,0.64,0.66,0.35,0.4,2699,-3191
2002/6/20,5336,5440,5280,5410,5508,5476.9,5544.55,5857.33,15062,8756,11424,-80.09,-89.22,9.13,0.54,0.62,0.4,0.42,10014,7315
2002/6/21,5341,5508,5321,5440,5476,5485.1,5531.65,5846.58,21121,11103,12002,-80.28,-87.43,7.15,0.5,0.58,0.44,0.44,9330,-684
2002/6/24,5402,5449,5330,5415,5447,5479.6,5516.6,5834.67,17214,12927,12629,-81.51,-86.25,4.74,0.45,0.54,0.41,0.43,10605,1275
2002/6/25,5440,5465,5320,5341,5395.2,5474.7,5501.15,5821.27,20902,15954,13108,-84.37,-85.87,1.5,0.35,0.48,0.34,0.39,13137,2532
2002/6/26,5256,5260,5082,5083,5337.8,5439.9,5477.55,5804.23,19106,18681,13815,-104.78,-89.65,-15.13,0.24,0.4,0.2,0.3,13896,759
2002/6/27,5163,5165,5060,5095,5274.8,5391.4,5448.55,5785.43,18222,19313,14034,-121.43,-96.01,-25.42,0.18,0.32,0.21,0.31,14882,986
2002/6/28,5155,5187,5129,5147,5216.2,5346.1,5424.3,5766.87,13262,17741,14422,-129.2,-102.65,-26.55,0.17,0.27,0.3,0.35,14351,-531
2002/7/1,5120,5120,4922,4926,5118.4,5282.7,5394.6,5746.43,12779,16854,14891,-148.1,-111.74,-36.36,0.11,0.22,0.19,0.28,13876,-475
2002/7/2,4876,4985,4860,4950,5040.2,5217.7,5367.1,5726.95,14198,15513,15734,-164.19,-122.23,-41.96,0.12,0.19,0.23,0.3,13796,-80
2002/7/3,4890,5059,4789,5058,5035.2,5186.5,5339.25,5710.57,22802,16253,17467,-170.55,-131.89,-38.66,0.21,0.19,0.38,0.37,12688,-1108
2002/7/4,5038,5097,5006,5080,5032.2,5153.5,5315.2,5694.82,15766,15761,17537,-167.63,-139.04,-28.59,0.28,0.22,0.4,0.38,12577,-111
2002/7/5,5080,5199,5064,5170,5036.8,5126.5,5305.8,5680.45,18970,16903,17322,-156.66,-142.56,-14.09,0.37,0.27,0.51,0.43,11823,-754
2002/7/8,5250,5336,5235,5270,5105.6,5112,5295.8,5665.65,16577,17663,17258,-136.14,-141.28,5.14,0.54,0.36,0.61,0.49,11364,-459
2002/7/9,5271,5315,5240,5307,5177,5108.6,5291.65,5651.12,11773,17178,16346,-117.36,-136.49,19.14,0.68,0.47,0.64,0.51,11812,448
2002/7/10,5257,5265,5183,5200,5205.4,5120.3,5280.1,5633.93,13867,15391,15822,-107.7,-130.74,23.03,0.7,0.55,0.5,0.45,11798,-14
2002/7/11,5110,5210,5102,5130,5215.4,5123.8,5257.6,5611.93,16549,15547,15654,-104.42,-125.47,21.05,0.68,0.59,0.43,0.42,11343,-455
2002/7/12,5220,5415,5205,5415,5264.4,5150.6,5248.35,5596.18,18070,15367,16135,-83.15,-117.01,33.86,0.78,0.65,0.66,0.56,10277,-1066
2002/7/15,5381,5415,5353,5370,5284.4,5195,5238.85,5579.05,9956,14043,15853,-64.37,-106.48,42.11,0.83,0.71,0.62,0.54,8575,-1702
