Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2004/3/23,5908,6220,5908,6055,6434.58,6586.68,0.14,-108.15,-57.66,-50.49,0.21,0.26,0.2,0.29,37374,-8923
2004/3/24,6127,6215,6067,6180,6349.72,6512.74,0.27,-125.49,-80.27,-45.22,0.23,0.25,0.3,0.35,35016,-2358
2004/3/25,6180,6202,6110,6135,6278.15,6444.06,0.23,-133.11,-97.88,-35.23,0.23,0.24,0.28,0.34,32468,-2548
2004/3/26,6200,6214,6071,6125,6227.1,6386.05,0.23,-133.95,-109.9,-24.05,0.23,0.24,0.28,0.33,33290,822
2004/3/29,6399,6488,6275,6471,6308.4,6401.49,0.59,-101.21,-107.01,5.79,0.35,0.28,0.53,0.48,31926,-1364
2004/3/30,6435,6498,6435,6487,6367.93,6417.04,0.61,-71.69,-95.23,23.55,0.43,0.33,0.54,0.48,30529,-1397
2004/3/31,6507,6539,6422,6480,6405.29,6428.49,0.6,-49.86,-80.11,30.25,0.49,0.38,0.53,0.48,32287,1758
2004/4/1,6473,6485,6410,6471,6427.19,6436.22,0.89,-36.1,-65.44,29.34,0.62,0.46,0.53,0.48,33489,1202
2004/4/2,6481,6525,6472,6493,6449.13,6446.54,0.93,-22.48,-51.12,28.64,0.72,0.55,0.55,0.49,32641,-848
2004/4/5,6560,6703,6533,6692,6530.09,6491.17,0.98,2.35,-33.3,35.64,0.81,0.64,0.69,0.57,29892,-2749
2004/4/6,6728,6730,6651,6660,6573.39,6521.87,0.89,19.96,-15.54,35.5,0.84,0.7,0.65,0.55,31960,2068
2004/4/7,6651,6674,6632,6665,6603.93,6547.89,0.9,28.8,-0.76,29.57,0.86,0.76,0.65,0.55,33091,1131
2004/4/8,6669,6690,6653,6681,6629.62,6572.09,0.89,34.97,11.15,23.82,0.87,0.79,0.67,0.56,32319,-772
2004/4/9,6661,6662,6582,6625,6628.08,6581.71,0.67,32.46,18.25,14.21,0.8,0.8,0.57,0.53,31215,-1104
2004/4/12,6648,6817,6641,6800,6685.39,6621.4,0.96,43.18,26.56,16.62,0.86,0.82,0.72,0.6,30121,-1094
2004/4/13,6810,6833,6772,6823,6731.26,6658.06,0.98,52.96,35.36,17.6,0.9,0.84,0.74,0.61,30874,753
2004/4/14,6771,6925,6771,6920,6794.17,6705.68,0.99,63.99,44.9,19.08,0.93,0.87,0.79,0.65,31028,154
2004/4/15,6897,6924,6723,6749,6779.11,6713.56,0.55,59.12,49.64,9.48,0.8,0.85,0.55,0.55,29438,-1590
2004/4/16,6736,6865,6736,6828,6795.41,6734.37,0.72,56.45,51.91,4.54,0.77,0.82,0.61,0.58,27111,-2327
2004/4/19,6828,6854,6750,6809,6799.94,6747.94,0.66,51.74,51.86,-0.11,0.74,0.79,0.59,0.57,23654,-3457
2004/4/20,6824,6899,6806,6839,6812.96,6764.49,0.75,50.64,51.45,-0.81,0.74,0.78,0.62,0.58,19874,-3780
2004/4/21,6815,6848,6806,6824,6816.64,6775.31,0.71,46.04,49.65,-3.61,0.73,0.76,0.59,0.58,15124,-4750
2004/4/22,6860,6920,6661,6718,6783.76,6764.89,0.27,34.5,44.6,-10.1,0.58,0.7,0.44,0.51,32216,17092
2004/4/23,6775,6784,6706,6750,6772.51,6762.18,0.34,25.2,38.13,-12.93,0.5,0.63,0.49,0.53,32448,232
2004/4/26,6751,6768,6712,6720,6755,6754.51,0.22,16.65,30.97,-14.32,0.41,0.56,0.45,0.51,33267,819
2004/4/27,6712,6730,6608,6680,6730,6740.97,0.23,5.24,22.4,-17.15,0.35,0.49,0.39,0.48,37292,4025
2004/4/28,6659,6684,6594,6605,6688.34,6716.25,0.03,-7.24,12.52,-19.76,0.24,0.4,0.31,0.44,40713,3421
2004/4/29,6555,6560,6327,6399,6591.89,6658.56,0.12,-34.19,-3.05,-31.14,0.2,0.34,0.18,0.35,42816,2103
2004/4/30,6361,6362,5961,6020,6401.26,6542.46,0.06,-81.76,-29.29,-52.47,0.16,0.28,0.09,0.24,39012,-3804
2004/5/3,6050,6120,5970,6017,6273.17,6446.92,0.06,-114.55,-57.71,-56.84,0.12,0.23,0.09,0.24,40330,1318
2004/5/4,6081,6168,6053,6133,6226.45,6389.85,0.18,-122.22,-79.21,-43.01,0.14,0.2,0.25,0.32,35411,-4919
2004/5/5,6135,6149,5725,5725,6059.3,6268.97,0,-150.35,-102.92,-47.42,0.09,0.16,0.14,0.23,32595,-2816
