date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2014/6/5,put,9127.56,9140.72,9140.72,9127.56,9114.4,8258.14,0.979020995602
2014/6/6,put,9167.83,9174.77,9134.46,9167.83,9201.2,8291.51,0.982977083852
2014/6/9,put,9153.93,9166.58,9162.74,9153.93,9145.12,8282.7,0.981932638617
2014/6/10,put,9181.9,9222.37,9222.37,9181.9,9141.43,8242.23,0.977134829463
2014/6/11,put,9218.5,9229.8,9229.8,9218.5,9207.2,8230.93,0.97579518915
2014/6/12,put,9209.99,9220.89,9204.65,9209.99,9215.33,8236.27,0.976428258112
2014/6/13,put,9192.73,9207.74,9196.39,9192.73,9189.07,8232.61,0.975994356913
2014/6/16,put,9196.23,9214.19,9202.93,9196.23,9189.53,8225.91,0.975200056905
2014/6/17,put,9223.02,9249.87,9240.6,9223.02,9205.44,8208.33,0.973115908525
2014/6/18,put,9257.65,9316.64,9279.93,9257.65,9235.37,8186.05,0.970474564617
2014/6/19,put,9288.69,9324.4,9316.81,9288.69,9260.57,8157.93,0.967140875627
2014/6/20,put,9330.35,9339.83,9273.79,9330.35,9386.91,8214.49,0.973846190324
2014/6/23,put,9293.06,9302.65,9228.35,9293.06,9357.77,8279.2,0.981517705777
2014/6/24,put,9232.35,9276.24,9246.2,9232.35,9218.5,8265.35,0.979875757252
2014/6/25,put,9250.13,9255.87,9242.16,9250.13,9258.1,8273.32,0.980820618606
2014/6/26,put,9273.36,9320.94,9320.94,9273.36,9225.78,8225.74,0.975179903024
2014/6/27,put,9316.89,9330.95,9306.83,9316.89,9326.95,8235.8,0.976372538559
2014/6/30,put,9332.44,9393.07,9393.07,9332.44,9271.81,8175.17,0.969184716245
2014/7/1,put,9393.07,9463.06,9441.92,9393.07,9344.22,8126.32,0.963393439319
2014/7/2,put,9482.0,9547.05,9484.96,9482.0,9479.04,8123.36,0.963042524689
2014/7/3,put,9468.78,9538.65,9526.23,9468.78,9411.33,8065.91,0.956231698498
2014/7/4,put,9525.93,9550.11,9510.05,9525.93,9541.81,8081.79,0.95811430807
2014/7/7,put,9497.27,9520.2,9520.2,9497.27,9474.34,8058.86,0.955395905206
