Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2011/7/14,8495.51,8531.96,8410.44,8481.35,8575.16,8677.27,8623.16,8822.55,1221.15,1174.24,1131.37,-56.49,-43.66,-12.83,0.2877,0.4648,0.2397,0.3466,58923,1268
2011/7/15,8494.7,8579.8,8462.05,8574.91,8540.24,8660.77,8620.1,8818.58,1170.25,1141.92,1138.51,-58.54,-46.63,-11.91,0.3188,0.4161,0.4411,0.4334,56384,-2539
2011/7/18,8550.16,8580.33,8473.91,8538.57,8514.78,8637.16,8620.5,8811.6,1086.09,1161.44,1138.5,-60.68,-49.44,-11.24,0.3114,0.3812,0.3926,0.4103,48627,-7757
2011/7/19,8528.2,8554.41,8490.79,8524.57,8521.49,8611.17,8616.84,8804.18,1056.14,1142.15,1141.2,-62.4,-52.04,-10.37,0.2964,0.3529,0.3736,0.4013,36948,-11679
2011/7/20,8612.53,8706.17,8612.53,8706.17,8565.11,8599.35,8621.1,8800.1,1350.93,1176.91,1161.74,-50.34,-51.7,1.35,0.4275,0.3778,0.6426,0.5429,26671,-10277
2011/7/21,8705.84,8725.97,8683.05,8717.14,8612.27,8593.72,8628.59,8796.25,1276.03,1187.89,1181.07,-38.08,-48.97,10.89,0.5865,0.4474,0.6534,0.5499,57740,31069
2011/7/22,8770.95,8794.48,8741.09,8765.32,8650.35,8595.3,8640.22,8791.52,1387.54,1231.35,1186.63,-23.6,-43.9,20.3,0.699,0.5312,0.7009,0.5807,59032,1292
2011/7/25,8764.68,8786.03,8661.76,8683.51,8679.34,8597.06,8649.38,8785.57,1031.41,1220.41,1190.93,-17,-38.52,21.52,0.703,0.5885,0.5477,0.5153,58029,-1003
2011/7/26,8700.59,8794.24,8689.15,8794.24,8733.28,8627.38,8665.15,8782.01,1128.61,1234.9,1188.53,-6.5,-32.12,25.61,0.8018,0.6596,0.6662,0.5844,62023,3994
2011/7/27,8775.18,8819.93,8754.51,8817.49,8755.54,8660.33,8677.36,8779.86,1328.86,1230.49,1203.7,4.54,-24.78,29.32,0.8656,0.7283,0.6869,0.5976,62532,509
2011/7/28,8739.83,8790.68,8702.84,8767.2,8765.55,8688.91,8683.09,8776.86,1441.49,1263.58,1225.74,9.52,-17.92,27.44,0.8596,0.772,0.5918,0.5561,62948,416
2011/7/29,8737.72,8771.64,8638.67,8644.18,8741.32,8695.84,8678.31,8770.62,1486.31,1283.34,1257.34,6.74,-12.99,19.73,0.7284,0.7575,0.4208,0.4692,60509,-2439
2011/8/1,8629.97,8707.87,8629.97,8701.38,8744.9,8712.12,8674.64,8766.02,1347.92,1346.64,1283.52,5.33,-9.33,14.65,0.6284,0.7145,0.5012,0.5082,64681,4172
2011/8/2,8629.09,8629.09,8557.7,8584.72,8702.99,8718.14,8664.65,8758.51,1286.98,1378.31,1306.61,-3.51,-8.16,4.66,0.4533,0.6274,0.3741,0.4368,65134,453
2011/8/3,8466.35,8472.27,8360.73,8456.86,8630.87,8693.2,8646.27,8749.07,1471.52,1406.84,1318.67,-22.55,-11.04,-11.51,0.372,0.5423,0.2805,0.374,66978,1844
