date,dateline,strike_price,callorput,open,high,close
2016/1/5,201603,6100,call,0,0,0
2016/1/5,201603,6100,put,14,16.5,16
2016/1/5,201603,6200,call,0,0,0
2016/1/5,201603,6200,put,17,18.5,18.5
2016/1/5,201603,6300,call,0,0,0
2016/1/5,201603,6300,put,18.5,20,20
2016/1/5,201603,6400,call,0,0,0
2016/1/5,201603,6400,put,24.5,25.5,23.5
2016/1/5,201603,6500,call,0,0,0
2016/1/5,201603,6500,put,22,29,29
2016/1/5,201603,6600,call,0,0,0
2016/1/5,201603,6600,put,33.5,34.5,32
2016/1/5,201603,6700,call,0,0,0
2016/1/5,201603,6700,put,36,38.5,38.5
2016/1/5,201603,6800,call,0,0,0
2016/1/5,201603,6800,put,43,46,45
2016/1/5,201603,6900,call,0,0,0
2016/1/5,201603,6900,put,52,53,52
2016/1/5,201603,7000,call,0,0,0
2016/1/5,201603,7000,put,61,65,63
2016/1/5,201603,7100,call,0,0,0
2016/1/5,201603,7100,put,71,74,72
2016/1/5,201603,7200,call,0,0,0
2016/1/5,201603,7200,put,85,86,84
2016/1/5,201603,7300,call,830,830,805
2016/1/5,201603,7300,put,95,99,99
2016/1/5,201603,7400,call,0,0,0
2016/1/5,201603,7400,put,115,118,114
2016/1/5,201603,7500,call,0,0,0
2016/1/5,201603,7500,put,133,134,131
2016/1/5,201603,7600,call,0,0,0
2016/1/5,201603,7600,put,153,158,153
2016/1/5,201603,7700,call,0,0,0
2016/1/5,201603,7700,put,167,187,187
2016/1/5,201603,7800,call,420,420,410
2016/1/5,201603,7800,put,205,221,213
2016/1/5,201603,7900,call,343,343,343
2016/1/5,201603,7900,put,240,250,245
2016/1/5,201603,8000,call,326,326,295
2016/1/5,201603,8000,put,272,286,276
2016/1/5,201603,8100,call,252,252,234
2016/1/5,201603,8100,put,283,326,326
2016/1/5,201603,8200,call,221,221,189
2016/1/5,201603,8200,put,358,392,383
2016/1/5,201603,8300,call,170,170,148
2016/1/5,201603,8300,put,415,443,440
2016/1/5,201603,8400,call,131,137,109
