Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2015/2/23,18140.76,18141.21,18054.84,18116.84,18064.1,17977.23,17751.05,17718.19,83.68,89.63,91.23,126.73,84.59,42.14,0.9323 ,0.9173 ,0.6999 ,0.6269 
2015/9/22,16477.45,16477.45,16221.73,16330.47,16527.99,16462.78,16389.26,17183.45,119,156,131,-149.21,-203.47,54.26,0.4210 ,0.5599 ,0.4216 ,0.4391 
2016/1/29,16090.26,16466.3,16090.26,16466.3,16106.57,16027.99,16361.24,17206.49,218,146,159,-318.82,-354.32,35.5,0.6882 ,0.5131 ,0.6200 ,0.5030 
2017/2/6,20025.61,20094.95,20002.81,20052.42,19952.76,19991.09,19918.79,19604.33,281,355,354,76.13,83.75,-7.63,0.6741 ,0.6291 ,0.6257 ,0.5993 
2013/12/20,16178.57,16287.84,16178.57,16221.14,16065.6,15966.5,15985.69,15646.3,285,143,118,77.49,65.51,11.98,0.7686 ,0.6026 ,0.7552 ,0.6662 
2013/5/20,15348.33,15391.84,15314.15,15335.28,15282.77,15186.8,14990.55,14639.88,116,137,121,180.32,152.57,27.74,0.9012 ,0.9129 ,0.7670 ,0.7247 
2015/4/30,18033.33,18033.33,17774.89,17840.52,18020.86,18001.21,17984.13,17963.58,129,120,113,24.57,31.46,-6.89,0.5353 ,0.6502 ,0.3345 ,0.4355 
2015/1/5,17821.3,17821.3,17475.93,17501.65,17835.8,17905.13,17722.94,17401.34,116,75.35,99.72,75.54,91.68,-16.15,0.4307 ,0.6466 ,0.2625 ,0.4015 
2015/6/16,17787.43,17919.62,17774.12,17904.48,17926.85,17899.62,18025.27,17998.54,77.51,87.95,87.24,-56,-35.8,-20.2,0.3986 ,0.3590 ,0.4771 ,0.4615 
2014/11/11,17615.64,17638.21,17584.94,17614.9,17568.31,17415.19,16978.7,16986.97,52.88,70.79,79.36,222.09,135.66,86.43,0.9794 ,0.9719 ,0.8742 ,0.7303 
2013/9/3,14801.55,14933.35,14777.48,14833.96,14817.17,14890.71,15111.66,15212.51,143,119,113,-150.87,-118.27,-32.6,0.1882 ,0.1521 ,0.3208 ,0.3121 
2013/5/21,15334.97,15434.5,15325.68,15387.58,15317.23,15219.93,15023.96,14666.6,123,137,121,186.31,159.32,26.99,0.8946 ,0.9068 ,0.8002 ,0.7430 
2014/9/25,17204.86,17204.86,16945.8,16945.8,17132.83,17123.76,17100.57,16948.29,93.52,135,108,55.77,68.12,-12.35,0.3970 ,0.5477 ,0.3588 ,0.4366 
