Date,Open,High,Low,Close,BBandMA2,Di2add,Di2minus,ADX2,RSI6,RSI12,three_openposition,openposition,SMA5,SMA10,Volume,MA5,MA10,DIF12,MACD9,OSC,K,D,AR10,RSV5
2014/7/3,9396,9463,9367,9455,9427.5,33.39,0.25,95.51,0.84,0.77,10828,2070,9346.2,9263.6,111701,105364,88948,85.56,71.74,13.82,0.77,0.64,1.87,0.88
2014/7/4,9488,9494,9411,9453,9454,35.04,0.14,97.34,0.84,0.77,8350,4227,9395.6,9291,105559,114806,92031,92.93,75.98,16.95,0.81,0.7,1.7,0.85
2014/7/7,9452,9453,9398,9451,9452,22.57,8.51,71.29,0.83,0.76,9930,2997,9427.8,9319.4,86345,116566,92385,96.49,80.08,16.41,0.83,0.74,1.47,0.79
2014/7/8,9452,9492,9440,9477,9464,43.66,5.09,75.21,0.85,0.78,11753,1876,9447.2,9349.8,82334,112825,94022,100.82,84.23,16.6,0.87,0.78,1.51,0.91
2014/7/9,9450,9477,9436,9463,9470,26.71,6.9,67.08,0.78,0.75,10917,885,9459.8,9380.5,77026,92593,95385,102.14,87.81,14.33,0.88,0.82,1.5,0.76
2014/7/10,9466,9556,9462,9553,9508,63.42,2.48,79.78,0.87,0.8,12711,3484,9479.4,9412.8,100623,90377,97871,107.69,91.78,15.9,0.92,0.85,1.61,0.98
2014/7/11,9540,9566,9450,9486,9519.5,24.58,7.3,67,0.64,0.69,8281,3698,9486,9440.8,157882,100842,107824,108.1,95.05,13.05,0.85,0.85,1.37,0.52
2014/7/14,9479,9529,9478,9523,9504.5,15.98,4.74,60.61,0.7,0.71,11538,6048,9500.4,9464.1,85979,100769,108668,108.48,97.73,10.75,0.84,0.85,1.28,0.67
2014/7/15,9575,9581,9534,9560,9541.5,48.63,2.64,75.15,0.74,0.73,7377,6230,9517,9482.1,92920,102886,107855,111.17,100.42,10.75,0.86,0.85,0.95,0.86
2014/7/16,9547,9564,9475,9483,9521.5,20.6,39.32,53.19,0.54,0.62,3732,1529,9521,9490.4,67424,100966,96779,107.43,101.82,5.61,0.73,0.81,0.84,0.25
2014/7/17,9392,9402,9326,9357,9420,6.79,76.58,68.45,0.35,0.49,233,924,9481.8,9480.6,123718,105585,97981,92.05,99.87,-7.82,0.53,0.72,0.63,0.12
2014/7/18,9285,9372,9281,9339,9348,3.82,64.72,78.65,0.33,0.47,3605,-364,9452.4,9469.2,107971,95602,98222,76.73,95.24,-18.51,0.42,0.62,0.99,0.19
2014/7/21,9380,9406,9356,9365,9352,22.2,39.37,53.26,0.39,0.5,4229,1222,9420.8,9460.6,78887,94184,97476,67.07,89.61,-22.54,0.37,0.53,1.16,0.28
