date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/3,201202,TXO,7000,call,262,295,248,280,937
2012/1/3,201202,TXO,7000,put,250,250,219,236,1189
2012/1/3,201202,TXO,7100,call,210,239,198,223,2999
2012/1/3,201202,TXO,7100,put,300,300,265,282,1587
2012/1/3,201202,TXO,7200,call,167,189,154,179,2683
2012/1/3,201202,TXO,7200,put,356,356,314,336,1671
2012/1/3,201202,TXO,7300,call,128,148,115,138,2273
2012/1/3,201202,TXO,7300,put,421,421,373,398,271
2012/1/3,201202,TXO,7400,call,98,113,87,105,1875
2012/1/3,201202,TXO,7400,put,484,484,436,454,81
2012/1/3,201202,TXO,7500,call,74,85,64,79,4265
2012/1/3,201202,TXO,7500,put,550,555,510,515,9
2012/1/3,201202,TXO,7600,call,56,62,47,55,3491
2012/1/3,201202,TXO,7600,put,585,585,585,585,13
2012/1/3,201202,TXO,7700,call,35,43,34,39,3526
2012/1/3,201202,TXO,7700,put,0,0,0,0,0
2012/1/3,201202,TXO,7800,call,27,29.5,24,26.5,2127
2012/1/3,201202,TXO,7800,put,0,0,0,0,0
2012/1/3,201202,TXO,7900,call,19,20.5,16,18,5087
2012/1/3,201202,TXO,7900,put,0,0,0,0,0
2012/1/3,201202,TXO,8000,call,12.5,13.5,11,11,1971
2012/1/3,201202,TXO,8000,put,940,940,940,940,5
2012/1/3,201202,TXO,8100,call,7.2,8.7,7.1,8.3,1659
2012/1/3,201202,TXO,8100,put,0,0,0,0,0
2012/1/3,201202,TXO,8200,call,6,6,4,4.9,619
2012/1/3,201202,TXO,8200,put,0,0,0,0,0
2012/1/3,201202,TXO,8300,call,3.9,4,2.9,2.9,487
2012/1/3,201202,TXO,8300,put,0,0,0,0,0
2012/1/3,201202,TXO,8400,call,2.3,2.3,1.9,2.1,734
2012/1/3,201202,TXO,8400,put,1330,1330,1330,1330,14
2012/1/3,201202,TXO,8500,call,1.4,1.5,1.3,1.3,1343
2012/1/3,201202,TXO,8500,put,0,0,0,0,1
2012/1/3,201203,TXO,5200,call,0,0,0,0,0
2012/1/3,201203,TXO,5200,put,18,22,16.5,18,488
2012/1/3,201203,TXO,5300,call,0,0,0,0,0
