Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2011/5/6,8971,9022,8956,9014,8991.4,8996.3,8891,8714.2,102849,124545,112565,88.22,85.06,3.16,0.66,0.69,0.59,0.6,0.64
2011/5/9,9001,9111,9001,9063,8999.2,9003.5,8900.75,8713.6,106302,117227,117662,90.72,86.2,4.53,0.71,0.7,0.65,0.63,0.81
2011/5/10,9063,9071,9026,9045,9021.6,9010.6,8910.05,8714.15,72365,106305,114232,90.63,87.08,3.55,0.72,0.71,0.61,0.61,0.74
2011/5/11,9109,9116,9013,9020,9038.4,9015.8,8925.75,8717.43,111680,105041,111490,89.16,87.5,1.66,0.69,0.7,0.56,0.59,0.63
2011/5/12,8960,9068,8942,9028,9034,9012.7,8936.8,8725.17,118596,102358,113868,84.94,86.99,-2.04,0.68,0.69,0.57,0.59,0.66
2011/5/13,9017,9063,9000,9029,9037,9014.2,8948.45,8731.57,92203,100229,112387,81.77,85.94,-4.18,0.67,0.69,0.57,0.59,0.66
2011/5/16,8995,9026,8914,8926,9009.6,9004.4,8959.5,8735.38,116497,102268,109748,71.79,83.11,-11.33,0.53,0.64,0.35,0.49,0.26
2011/5/17,8900,8936,8847,8911,8982.8,9002.2,8969.65,8738.58,114964,110788,108546,59.42,78.37,-18.95,0.44,0.57,0.33,0.48,0.24
2011/5/18,8915,8948,8896,8934,8965.6,9002,8985,8743.73,49892,98430,101736,51.18,72.94,-21.75,0.4,0.51,0.4,0.5,0.32
2011/5/19,8960,9043,8838,8841,8928.2,8981.1,8987.45,8744.27,165229,107757,105058,41.18,66.58,-25.4,0.27,0.43,0.27,0.42,0.01
2011/5/20,8900,8915,8806,8817,8885.8,8961.4,8978.85,8744.4,120448,113406,106818,28.72,59.01,-30.29,0.19,0.35,0.24,0.41,0.04
2011/5/23,8747,8771,8668,8734,8847.4,8928.5,8966,8746.3,114280,112963,107615,9.7,49.15,-39.45,0.18,0.29,0.17,0.35,0.15
2011/5/24,8723,8767,8660,8763,8817.8,8900.3,8955.45,8750.33,118395,113649,112218,-4.39,38.44,-42.83,0.2,0.26,0.26,0.38,0.25
2011/5/25,8745,8746,8650,8679,8766.8,8866.2,8941,8752.8,127146,129100,113765,-19.36,26.88,-46.24,0.16,0.23,0.19,0.33,0.07
2011/5/26,8764,8796,8719,8785,8755.6,8841.9,8927.3,8755.63,92683,114590,111174,-24.26,16.65,-40.91,0.22,0.23,0.42,0.44,0.34
2011/5/27,8773,8855,8768,8780,8748.2,8817,8915.6,8757.13,112193,112939,113173,-25.87,8.15,-34.02,0.26,0.24,0.42,0.43,0.33
2011/5/30,8760,8827,8708,8816,8764.6,8806,8905.2,8760.72,109256,111935,112449,-27.15,1.09,-28.24,0.31,0.26,0.49,0.47,0.42
2011/5/31,8857,9034,8856,9018,8815.6,8816.7,8909.45,8765.37,125292,113314,113481,-12.71,-1.67,-11.04,0.52,0.35,0.72,0.61,0.94
2011/6/1,9023,9106,9008,9086,8897,8831.9,8916.95,8770.78,107636,109412,119256,5.93,-0.15,6.08,0.67,0.45,0.76,0.64,0.96
2011/6/2,8980,9057,8976,9028,8945.6,8850.6,8915.85,8775.9,93917,109659,112125,16.53,3.19,13.35,0.72,0.54,0.66,0.59,0.83
2011/6/3,9048,9078,8998,9070,9003.6,8875.9,8918.65,8781.4,101667,107554,110247,27.19,7.99,19.2,0.79,0.62,0.69,0.62,0.92
2011/6/7,9032,9095,8973,9089,9058.2,8911.4,8919.95,8786.92,114968,108696,110315,35.82,13.55,22.27,0.85,0.7,0.71,0.63,0.96
2011/6/8,9076,9087,9002,9030,9060.6,8938.1,8919.2,8793.7,117846,107207,110260,40.24,18.89,21.35,0.83,0.74,0.59,0.57,0.81
2011/6/9,9011,9050,8994,9029,9049.2,8973.1,8919.65,8801.53,92879,104255,106834,42.31,23.58,18.74,0.82,0.77,0.59,0.57,0.81
2011/6/10,9068,9069,8811,8829,9009.4,8977.5,8909.7,8806.95,181700,121812,115735,32.2,25.3,6.9,0.65,0.73,0.32,0.43,0.3
2011/6/13,8780,8805,8683,8743,8944,8973.8,8895.4,8815.05,127284,126935,117245,12.67,22.78,-10.11,0.48,0.65,0.26,0.38,0.14
2011/6/14,8743,8848,8734,8845,8895.2,8976.7,8891.35,8824.05,107819,125506,117101,3.16,18.85,-15.69,0.45,0.58,0.42,0.46,0.38
2011/6/15,8846,8877,8730,8839,8857,8958.8,8887.75,8833.75,92941,120525,113866,-4.06,14.27,-18.33,0.43,0.53,0.41,0.45,0.38
2011/6/16,8559,8559,8481,8494,8750,8899.6,8865.75,8836.63,122262,126401,115328,-34.74,4.47,-39.21,0.29,0.45,0.2,0.31,0.02
2011/6/17,8492,8543,8436,8462,8676.6,8843,8846.8,8837.82,130140,116089,118951,-60.88,-8.6,-52.28,0.21,0.37,0.19,0.3,0.04
2011/6/20,8501,8525,8365,8399,8607.8,8775.9,8825.9,8837.52,130364,116705,121820,-84.95,-23.87,-61.08,0.15,0.3,0.17,0.28,0.05
2011/6/21,8470,8485,8400,8465,8531.8,8713.5,8812.45,8837.75,121966,119535,122520,-100.31,-39.16,-61.15,0.15,0.25,0.27,0.33,0.14
2011/6/22,8518,8524,8416,8442,8452.4,8654.7,8796.4,8836.33,126011,126149,123337,-111.02,-53.53,-57.49,0.14,0.21,0.26,0.32,0.11
2011/6/23,8424,8475,8389,8397,8433,8591.5,8782.3,8833.33,113345,124365,125383,-121.46,-67.12,-54.34,0.11,0.18,0.23,0.3,0.06
2011/6/24,8420,8432,8365,8410,8422.6,8549.6,8763.55,8831.5,98878,118113,117101,-129.07,-79.51,-49.56,0.1,0.15,0.26,0.31,0.09
2011/6/27,8310,8373,8260,8335,8409.8,8508.8,8741.3,8827.53,111300,114300,115503,-139.82,-91.57,-48.25,0.11,0.14,0.21,0.28,0.12
2011/6/28,8385,8396,8304,8310,8378.8,8455.3,8716,8822.83,102001,110307,114921,-146.31,-102.52,-43.79,0.13,0.14,0.2,0.28,0.17
2011/6/29,8377,8486,8353,8470,8384.4,8418.4,8688.6,8820,131299,111365,118757,-140.58,-110.13,-30.45,0.33,0.2,0.48,0.41,0.74
2011/6/30,8475,8528,8456,8505,8406,8419.5,8659.55,8817.02,101913,109078,116722,-130.2,-114.14,-16.05,0.53,0.31,0.52,0.43,0.91
2011/7/1,8560,8615,8543,8572,8438.4,8430.5,8636.75,8812.57,97612,108825,113469,-114.44,-114.2,-0.23,0.64,0.42,0.6,0.48,0.88
2011/7/4,8631,8657,8598,8601,8491.6,8450.7,8613.3,8807.65,81883,102942,108621,-97.69,-110.9,13.21,0.72,0.52,0.63,0.5,0.86
2011/7/5,8611,8631,8585,8629,8555.4,8467.1,8590.3,8803.67,71652,96872,103589,-83.12,-105.34,22.22,0.79,0.61,0.66,0.52,0.93
2011/7/6,8628,8713,8623,8690,8599.4,8491.9,8573.3,8800.85,97258,90064,100714,-65.93,-97.46,31.53,0.84,0.69,0.72,0.55,0.95
2011/7/7,8690,8712,8665,8689,8636.2,8521.1,8556.3,8800.57,75394,84760,96919,-50.94,-88.16,37.22,0.88,0.75,0.72,0.55,0.95
2011/7/8,8696,8768,8635,8643,8650.4,8544.4,8547,8797.83,126154,90468,99647,-39.92,-78.51,38.59,0.83,0.78,0.6,0.52,0.73
2011/7/11,8603,8630,8573,8600,8650.2,8570.9,8539.85,8794.57,80816,90255,96598,-36.54,-70.12,33.57,0.75,0.77,0.51,0.48,0.6
2011/7/12,8511,8538,8412,8422,8608.8,8582.1,8518.7,8789.85,118005,99525,98199,-45.62,-65.22,19.59,0.51,0.68,0.29,0.37,0.03
2011/7/13,8431,8483,8410,8463,8563.4,8581.4,8499.9,8785.77,102405,100555,95309,-51.72,-62.52,10.8,0.39,0.58,0.37,0.41,0.15
2011/7/14,8448,8506,8360,8481,8521.8,8579,8499.25,8783.33,141282,113732,99246,-55.73,-61.16,5.43,0.36,0.51,0.4,0.42,0.3
2011/7/15,8472,8570,8451,8563,8505.8,8578.1,8504.3,8779.52,122482,112998,101733,-51.87,-59.3,7.43,0.4,0.47,0.54,0.49,0.5
2011/7/18,8507,8590,8469,8486,8483,8566.6,8508.65,8771.13,121453,121125,105690,-50.57,-57.56,6.99,0.37,0.44,0.43,0.44,0.31
2011/7/19,8500,8546,8487,8532,8505,8556.9,8512,8763.48,93884,116301,107913,-47.66,-55.58,7.92,0.39,0.42,0.5,0.47,0.42
2011/7/20,8620,8708,8611,8697,8551.8,8557.6,8524.75,8758.87,65843,108989,104772,-32.55,-50.97,18.42,0.53,0.46,0.68,0.58,0.83
2011/7/21,8637,8654,8615,8651,8585.8,8553.8,8537.45,8753.58,62981,93329,103531,-23.17,-45.41,22.24,0.64,0.52,0.6,0.54,0.84
2011/7/22,8703,8740,8682,8694,8612,8558.9,8551.65,8747.5,87397,86312,99655,-10.8,-38.49,27.69,0.72,0.58,0.65,0.57,0.88
2011/7/25,8650,8689,8586,8605,8635.8,8559.4,8565.15,8740.68,106089,83239,102182,-7.46,-32.28,24.82,0.69,0.62,0.51,0.51,0.64
2011/7/26,8636,8744,8628,8734,8676.2,8590.6,8586.35,8735.85,110674,86597,101449,2.32,-25.36,27.68,0.79,0.68,0.64,0.58,0.97
2011/7/27,8714,8772,8707,8761,8689,8620.4,8600.9,8732.98,84296,90287,99638,13.17,-17.66,30.82,0.85,0.73,0.66,0.59,0.97
2011/7/28,8695,8735,8660,8726,8704,8644.9,8611.95,8729.48,107531,99197,96263,18.45,-10.44,28.88,0.85,0.77,0.61,0.57,0.85
2011/7/29,8698,8726,8592,8610,8687.2,8649.6,8613.85,8722.15,142948,110308,98310,16.21,-5.11,21.31,0.71,0.75,0.45,0.49,0.43
2011/8/1,8713,8728,8655,8682,8702.6,8669.2,8617.9,8716.62,80934,105277,94258,18.44,-0.4,18.84,0.64,0.71,0.54,0.53,0.52
2011/8/2,8600,8607,8535,8573,8670.4,8673.3,8615.1,8708.45,103379,103818,95207,10.82,1.85,8.97,0.48,0.64,0.41,0.47,0.16
2011/8/3,8420,8455,8367,8436,8605.4,8647.2,8602.4,8698.3,114269,109812,100050,-7.12,0.05,-7.17,0.38,0.55,0.31,0.4,0.17
2011/8/4,8430,8488,8278,8289,8518,8611,8582.4,8686.12,144679,117242,108220,-28.07,-5.57,-22.5,0.26,0.45,0.23,0.34,0.02
2011/8/5,7820,7988,7736,7765,8349,8518.1,8538.5,8665.07,205307,129714,120011,-85.85,-21.63,-64.22,0.18,0.36,0.11,0.22,0.03
2011/8/8,7742,7769,7260,7556,8123.8,8413.2,8486.3,8640.52,266957,166918,136097,-152.33,-47.77,-104.56,0.19,0.3,0.09,0.19,0.2
2011/8/9,7230,7607,7091,7535,7916.2,8293.3,8441.95,8617.33,279335,202109,152964,-210.12,-80.24,-129.88,0.21,0.27,0.09,0.19,0.27
2011/8/10,7597,7698,7581,7667,7762.4,8183.9,8402.15,8596.6,172601,213776,161794,-236.16,-111.42,-124.73,0.26,0.27,0.22,0.26,0.35
