Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91,Open2,High2,Low2,Close2,SMA52,SMA102,SMA202,SMA602,Volume2,MA52,MA102,DIF2,ACD92,OSC2,K2,D2,RSI62,RSI122,RSV92
2006/10/3,6947,6963,6925,6940,6919,6903.8,6796.3,6580.73,21877,32881,33523,91.24,85.41,5.84,0.72,0.74,0.62,0.62,0.74,206,209.5,204.5,209,204.2,204.65,201.05,194.49,12395,12571,11320,3.14,2.87,0.27,0.54,0.5,0.74,0.65,0.81,60,60.3,59.6,60,60.34,60.2,59.14,57.25,31123,45922,36744,0.73,0.74,-0.01,0.55,0.66,0.51,0.56,0.42
2006/10/4,6948,6970,6856,6867,6901.4,6902.5,6807,6585.53,38041,33924,35388,86.15,85.55,0.59,0.58,0.69,0.48,0.55,0.28,210.5,210.5,205,205,204.6,204.5,201.5,194.61,8362,11586,10670,3.16,2.93,0.23,0.51,0.5,0.54,0.57,0.45,60,60,58.5,58.5,59.86,60.06,59.17,57.27,46198,48163,37996,0.6,0.71,-0.11,0.37,0.56,0.32,0.45,0
2006/10/5,6934,7015,6920,7012,6931,6915.7,6825.6,6593.8,39715,32779,34687,89.13,86.27,2.86,0.71,0.7,0.66,0.64,0.98,207.5,212,207,212,206.7,205.3,202.4,194.93,17458,11641,10941,3.49,3.04,0.44,0.67,0.56,0.71,0.65,1,59.6,60.8,59.6,60.7,59.82,60.08,59.35,57.35,44590,42402,39073,0.61,0.69,-0.08,0.53,0.55,0.59,0.58,0.85
2006/10/11,7043,7058,6987,7009,6957.4,6930.8,6841.25,6604.48,19733,31665,33813,92.53,87.52,5.01,0.73,0.71,0.66,0.64,0.77,210,211,207.5,208,208,205.55,202.97,195.28,12634,12452,11575,3.53,3.14,0.39,0.67,0.59,0.57,0.58,0.65,60.7,60.9,60.4,60.6,60,60.17,59.55,57.44,37660,40765,39994,0.63,0.68,-0.05,0.62,0.57,0.58,0.57,0.81
2006/10/12,7012,7038,6965,6981,6961.8,6936.4,6857.9,6617.15,28286,29530,32297,92.18,88.45,3.73,0.7,0.71,0.6,0.61,0.64,210,211,208,208,208.4,205.8,203.53,195.76,10773,12324,11891,3.54,3.22,0.32,0.66,0.62,0.57,0.58,0.65,61,61.1,60.6,61,60.16,60.3,59.78,57.56,31164,38147,41514,0.66,0.68,-0.01,0.73,0.63,0.62,0.59,0.96
2006/10/13,7066,7109,7039,7080,6989.8,6954.4,6882.5,6630.72,32782,31711,32296,97.7,90.3,7.39,0.77,0.73,0.71,0.67,0.89,211.5,214.5,210,213,209.2,206.7,204.53,196.3,15358,12917,12744,3.81,3.34,0.47,0.74,0.66,0.68,0.64,0.89,61.8,63.4,61.8,63.2,60.8,60.57,60.11,57.71,77469,47416,46669,0.84,0.71,0.13,0.81,0.69,0.76,0.68,0.96
2006/10/14,7089,7102,7070,7102,7036.8,6969.1,6905.4,6644.65,14484,27000,30462,102.26,92.69,9.57,0.83,0.76,0.73,0.68,0.97,212.5,213,208.5,211,210.4,207.5,205.28,196.82,4623,12169,11878,3.84,3.44,0.41,0.74,0.69,0.6,0.6,0.75,63.5,63.5,62.5,63,61.7,60.78,60.34,57.86,14366,41050,44606,0.97,0.76,0.21,0.84,0.74,0.73,0.67,0.9
2006/10/16,7111,7164,7093,7143,7063,6997,6933.6,6658.05,29394,24936,28858,108,95.76,12.25,0.87,0.8,0.77,0.7,0.93,212.5,217,211,216.5,211.3,209,206.35,197.25,17244,12126,11884,4.17,3.59,0.59,0.82,0.73,0.71,0.66,0.97,64,65.2,63.3,65,62.56,61.19,60.67,58.01,79595,48051,45227,1.2,0.85,0.35,0.88,0.79,0.82,0.73,0.97
2006/10/17,7140,7140,7076,7076,7076.4,7016.9,6953.95,6671.12,29787,26947,29306,107.78,98.16,9.62,0.82,0.8,0.61,0.63,0.71,215,217,214,215,212.7,210.35,207.2,197.7,12134,12026,12239,4.39,3.75,0.64,0.82,0.76,0.65,0.63,0.84,64,64.2,62.8,62.9,63.02,61.51,60.87,58.14,37928,48104,44435,1.24,0.93,0.32,0.81,0.79,0.58,0.6,0.66
2006/10/18,7051,7057,6976,7025,7085.2,7023.5,6960.45,6684.23,22247,25739,27635,100.69,98.67,2.03,0.73,0.78,0.51,0.58,0.55,212.5,214.5,212,214.5,214,211.2,207.65,198.25,10856,12043,12184,4.39,3.88,0.52,0.81,0.78,0.63,0.62,0.79,62.1,62.4,61.5,62,63.22,61.69,60.97,58.3,36474,49166,43657,1.17,0.98,0.19,0.71,0.77,0.51,0.55,0.52
